Week,Date,Year,Month,Month_Name,Quarter,Week_of_Year,Seasonality_Index,Spend_PaidSearch,Spend_PaidSocial,Spend_Email,Spend_Influencer,Total_Marketing_Spend,SEO_Organic_Index,Revenue,Orders,Avg_Order_Value,New_Visitors,Conversion_Rate_Pct,Adstock_PaidSearch,Adstock_PaidSocial,Adstock_Email,Adstock_Influencer,Trend_Index,Sin_52,Cos_52,Sin_26,Cos_26,Is_Q4,Is_BlackFriday,Is_Christmas,Is_January,Is_Summer
1,2023-01-02,2023,1,January,1,1,0.75,9698.69,5028.23,766.2,0.0,15493.12,0.6611,140883.48,1992,70.72,17118,11.637,9698.69,5028.23,766.2,0.0,0.009615384615384616,0.12053668025532305,0.992708874098054,0.23931566428755774,0.970941817426052,0,0,0,1,0
2,2023-01-09,2023,1,January,1,2,0.75,9444.69,5367.43,1033.22,0.0,15845.34,0.6342,150692.71,2336,64.51,18973,12.312,12839.2315,7630.1335,1186.46,0.0,0.019230769230769232,0.23931566428755774,0.970941817426052,0.4647231720437685,0.8854560256532099,0,0,0,1,0
3,2023-01-16,2023,1,January,1,3,0.75,9759.08,6256.71,770.67,11.37,16797.83,0.6963,158595.15,2240,70.8,18355,12.204,14252.811024999999,9690.270075,1007.962,11.37,0.028846153846153848,0.3546048870425356,0.9350162426854148,0.6631226582407952,0.7485107481711011,0,0,0,1,0
4,2023-01-23,2023,1,January,1,4,0.75,10109.21,5229.75,815.85,0.0,16154.8,0.6211,154616.41,2188,70.67,17059,12.826,15097.693858749997,9590.37153375,1017.4424,6.2535,0.038461538461538464,0.4647231720437685,0.8854560256532099,0.8229838658936564,0.5680647467311559,0,0,0,1,0
5,2023-01-30,2023,1,January,1,5,0.75,9406.34,5279.53,801.32,6149.75,21636.94,0.6257,175871.66,3005,58.53,24155,12.44,14690.532850562498,9595.1971901875,1004.80848,6153.189425,0.04807692307692308,0.5680647467311558,0.8229838658936564,0.9350162426854148,0.35460488704253557,0,0,0,1,0
6,2023-02-06,2023,2,February,1,6,1.15,10206.35,6480.33,897.11,6018.17,23601.96,0.6886,197509.11,2753,71.74,21539,12.781,15348.036497696874,10798.168735584375,1098.071696,9402.424183750001,0.057692307692307696,0.6631226582407952,0.7485107481711011,0.992708874098054,0.120536680255323,0,0,0,0,0
7,2023-02-13,2023,2,February,1,7,1.15,10931.69,5373.74,819.78,3412.5,20537.7,0.7144,190390.43,2687,70.86,21528,12.481,16303.502774193905,10232.915931012969,1039.3943392,8583.833301062501,0.0673076923076923,0.7485107481711011,0.6631226582407953,0.992708874098054,-0.12053668025532288,0,0,0,0,0
8,2023-02-20,2023,2,February,1,8,1.0,10306.97,5984.09,860.72,0.0,17151.78,0.7133,185644.05,2459,75.5,22196,11.079,16013.195970967867,10588.902168955836,1068.5988678400001,4721.108315584376,0.07692307692307693,0.8229838658936564,0.5680647467311559,0.9350162426854148,-0.35460488704253545,0,0,0,0,0
9,2023-02-27,2023,2,February,1,9,1.0,9812.21,6036.14,738.17,61.94,16648.46,0.6625,183365.55,2256,81.28,18105,12.461,15416.828589838751,10801.145976030126,951.889773568,2658.549573571407,0.08653846153846154,0.8854560256532099,0.4647231720437686,0.8229838658936565,-0.5680647467311557,0,0,0,0,0
10,2023-03-06,2023,3,March,1,10,1.0,10217.02,7477.95,781.05,0.0,18476.02,0.7308,182083.86,2345,77.65,23018,10.188,15612.910006443562,12338.465689213557,971.4279547136,1462.202265464274,0.09615384615384616,0.9350162426854148,0.35460488704253557,0.6631226582407952,-0.7485107481711012,0,0,0,0,0
11,2023-03-13,2023,3,March,1,11,1.0,9814.63,5884.58,761.17,0.0,16460.39,0.702,179074.86,2534,70.67,22164,11.433,15279.148502255246,11436.8895601461,955.4555909427199,804.2112460053507,0.10576923076923077,0.970941817426052,0.23931566428755804,0.46472317204376906,-0.8854560256532096,0,0,0,0,0
12,2023-03-20,2023,3,March,1,12,1.1,10013.71,6530.93,836.55,36.55,17417.74,0.7674,180942.3,2722,66.47,23388,11.638,15361.411975789335,11677.530302065745,1027.641118188544,478.86618530294294,0.11538461538461539,0.992708874098054,0.120536680255323,0.23931566428755768,-0.970941817426052,0,0,0,0,0
13,2023-03-27,2023,3,March,1,13,1.1,10296.78,6329.17,1015.17,36.74,17677.88,0.763,182621.74,2151,84.9,17360,12.391,15673.274191526267,11584.058635929585,1220.6982236377087,300.11640191661866,0.125,1.0,-1.6081226496766366e-16,-3.216245299353273e-16,-1.0,0,0,0,0,0
14,2023-04-03,2023,4,April,2,14,1.1,9434.69,5648.79,680.62,0.0,15764.1,0.7271,176117.55,2436,72.3,21558,11.3,14920.335967034192,10861.616386168313,924.7596447275417,165.06402105414028,0.1346153846153846,0.992708874098054,-0.12053668025532288,-0.23931566428755743,-0.9709418174260521,0,0,0,0,0
15,2023-04-10,2023,4,April,2,15,1.1,9510.03,7035.69,884.9,0.0,17430.63,0.7417,179617.63,2492,72.08,20464,12.177,14732.147588461969,11923.417373775741,1069.8519289455085,90.78521157977717,0.14423076923076922,0.9709418174260521,-0.2393156642875575,-0.46472317204376806,-0.8854560256532101,0,0,0,0,0
16,2023-04-17,2023,4,April,2,16,1.1,9975.08,6801.16,700.98,34.81,17512.04,0.7257,176959.04,2461,71.91,21068,11.681,15131.331655961689,12166.697818199083,914.9503857891017,84.74186636887745,0.15384615384615385,0.9350162426854148,-0.35460488704253545,-0.663122658240795,-0.7485107481711013,0,0,0,0,0
17,2023-04-24,2023,4,April,2,17,1.0,9594.87,6474.62,762.25,0.0,16831.73,0.7547,172706.29,2366,73.0,23139,10.225,14890.836079586592,11949.634018189587,945.2400771578203,46.6080265028826,0.16346153846153846,0.8854560256532099,-0.4647231720437685,-0.8229838658936564,-0.5680647467311559,0,0,0,0,0
18,2023-05-01,2023,5,May,2,18,1.0,10125.7,5454.37,887.12,6610.21,23077.39,0.783,189433.23,2657,71.3,22456,11.832,15337.492627855307,10831.705308185314,1076.168015431564,6635.844414576585,0.17307692307692307,0.8229838658936565,-0.5680647467311557,-0.9350162426854147,-0.3546048870425359,0,0,0,0,0
19,2023-05-08,2023,5,May,2,19,1.0,9636.79,6841.68,805.14,5021.01,22304.62,0.7213,189906.52,2747,69.13,24928,11.02,15004.912419749358,11715.947388683391,1020.3736030863129,8670.724428017122,0.18269230769230768,0.7485107481711013,-0.663122658240795,-0.992708874098054,-0.12053668025532357,0,0,0,0,0
20,2023-05-15,2023,5,May,2,20,1.0,9435.08,5158.89,713.78,6305.83,21613.58,0.7614,189136.09,2730,69.28,22245,12.272,14686.799346912274,10431.066324907526,917.8547206172625,11074.728435409417,0.19230769230769232,0.6631226582407952,-0.7485107481711012,-0.992708874098054,0.1205366802553232,0,0,0,0,0
21,2023-05-22,2023,5,May,2,21,1.0,10586.26,6352.11,742.78,46.64,17727.79,0.7249,189364.55,2636,71.84,22359,11.789,15726.639771419295,11046.089846208386,926.3509441234525,6137.740639475181,0.20192307692307693,0.5680647467311558,-0.8229838658936564,-0.9350162426854148,0.35460488704253557,0,0,0,0,0
22,2023-05-29,2023,5,May,2,22,1.0,9909.69,7314.27,854.37,221.3,18299.63,0.7107,187180.88,2701,69.3,25349,10.655,15414.013919996753,12285.010430793775,1039.6401888246905,3597.05735171135,0.21153846153846154,0.46472317204376906,-0.8854560256532096,-0.822983865893657,0.5680647467311548,0,0,0,0,0
23,2023-06-05,2023,6,June,2,23,1.0,10027.01,5405.68,741.57,128.65,16302.91,0.7242,184159.65,2690,68.46,22021,12.216,15421.914871998863,10933.934693857198,949.4980377649382,2107.031543441243,0.22115384615384615,0.35460488704253584,-0.9350162426854147,-0.6631226582407955,0.7485107481711007,0,0,0,0,1
24,2023-06-12,2023,6,June,2,24,1.2,9830.1,6360.22,877.32,0.0,17067.64,0.6889,193147.13,2662,72.56,25039,10.631,15227.770205199602,11280.490612235739,1067.2196075529878,1158.8673488926836,0.23076923076923078,0.23931566428755768,-0.970941817426052,-0.4647231720437684,0.88545602565321,0,0,0,0,1
25,2023-06-19,2023,6,June,2,25,1.2,10182.25,6759.79,863.65,0.0,17805.68,0.6954,189748.21,2682,70.75,23746,11.295,15511.96957181986,11836.010775506082,1077.0939215105975,637.377041890976,0.2403846153846154,0.12053668025532308,-0.992708874098054,-0.2393156642875578,0.970941817426052,0,0,0,0,1
26,2023-06-26,2023,6,June,2,26,1.2,10444.37,6397.91,807.87,0.0,17650.16,0.6681,185114.31,2327,79.55,19125,12.167,15873.559350136951,11724.114848977737,1023.2887843021196,350.5573730400368,0.25,-3.216245299353273e-16,-1.0,6.432490598706546e-16,1.0,0,0,0,0,1
27,2023-07-03,2023,7,July,3,27,1.0,9539.6,5069.6,971.52,0.0,15580.72,0.7549,178937.14,3045,58.76,26845,11.343,15095.345772547933,10345.451682039982,1176.1777568604239,192.80655517202024,0.25961538461538464,-0.12053668025532283,-0.992708874098054,0.23931566428755732,0.9709418174260521,0,0,0,0,1
28,2023-07-10,2023,7,July,3,28,1.0,10150.28,6041.14,850.71,0.0,17042.13,0.6891,173892.38,2245,77.46,20174,11.128,15433.651020391777,10696.593256917993,1085.9455513720848,106.04360534461114,0.2692307692307692,-0.23931566428755743,-0.9709418174260521,0.46472317204376795,0.8854560256532102,0,0,0,0,1
