Week,Date,Year,Month,Month_Name,Quarter,Week_of_Year,Seasonality_Index,Spend_PaidSearch,Spend_PaidSocial,Spend_Email,Spend_Influencer,Total_Marketing_Spend,SEO_Organic_Index,Revenue,Orders,Avg_Order_Value,New_Visitors,Conversion_Rate_Pct
1,2023-01-02,2023,1,January,1,1,0.75,9698.69,5028.23,766.2,0.0,15493.12,0.6611,140883.48,1992,70.72,17118,11.637
2,2023-01-09,2023,1,January,1,2,0.75,9444.69,5367.43,1033.22,0.0,15845.34,0.6342,150692.71,2336,64.51,18973,12.312
3,2023-01-16,2023,1,January,1,3,0.75,9759.08,6256.71,770.67,11.37,16797.83,0.6963,158595.15,2240,70.8,18355,12.204
4,2023-01-23,2023,1,January,1,4,0.75,10109.21,5229.75,815.85,0.0,16154.8,0.6211,154616.41,2188,70.67,17059,12.826
5,2023-01-30,2023,1,January,1,5,0.75,9406.34,5279.53,801.32,6149.75,21636.94,0.6257,175871.66,3005,58.53,24155,12.44
6,2023-02-06,2023,2,February,1,6,1.15,10206.35,6480.33,897.11,6018.17,23601.96,0.6886,197509.11,2753,71.74,21539,12.781
7,2023-02-13,2023,2,February,1,7,1.15,10931.69,5373.74,819.78,3412.5,20537.7,0.7144,190390.43,2687,70.86,21528,12.481
8,2023-02-20,2023,2,February,1,8,1.0,10306.97,5984.09,860.72,0.0,17151.78,0.7133,185644.05,2459,75.5,22196,11.079
9,2023-02-27,2023,2,February,1,9,1.0,9812.21,6036.14,738.17,61.94,16648.46,0.6625,183365.55,2256,81.28,18105,12.461
10,2023-03-06,2023,3,March,1,10,1.0,10217.02,7477.95,781.05,0.0,18476.02,0.7308,182083.86,2345,77.65,23018,10.188
11,2023-03-13,2023,3,March,1,11,1.0,9814.63,5884.58,761.17,0.0,16460.39,0.702,179074.86,2534,70.67,22164,11.433
12,2023-03-20,2023,3,March,1,12,1.1,10013.71,6530.93,836.55,36.55,17417.74,0.7674,180942.3,2722,66.47,23388,11.638
13,2023-03-27,2023,3,March,1,13,1.1,10296.78,6329.17,1015.17,36.74,17677.88,0.763,182621.74,2151,84.9,17360,12.391
14,2023-04-03,2023,4,April,2,14,1.1,9434.69,5648.79,680.62,0.0,15764.1,0.7271,176117.55,2436,72.3,21558,11.3
